anio_mundial,nombre_pais,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,es_campeon,es_subcampeon
2006,Angola,23,grupos 1ra ronda,2,3,0,2,1,1,2,-1,0,0
2006,Túnez,24,grupos 1ra ronda,1,3,0,1,2,3,6,-3,0,0
2006,Estados Unidos,25,grupos 1ra ronda,1,3,0,1,2,2,6,-4,0,0
2006,Irán,26,grupos 1ra ronda,1,3,0,1,2,2,6,-4,0,0
2006,Trinidad y Tobago,27,grupos 1ra ronda,1,3,0,1,2,0,4,-4,0,0
2006,Arabia Saudita,28,grupos 1ra ronda,1,3,0,1,2,2,7,-5,0,0
2006,Japón,29,grupos 1ra ronda,1,3,0,1,2,2,7,-5,0,0
2006,Togo,30,grupos 1ra ronda,0,3,0,0,3,1,6,-5,0,0
2006,Costa Rica,31,grupos 1ra ronda,0,3,0,0,3,3,9,-6,0,0
2006,Serbia y Montenegro,32,grupos 1ra ronda,0,3,0,0,3,2,10,-8,0,0
2010,España,1,final,18,7,6,0,1,8,2,6,1,0
2010,Paises Bajos,2,final,18,7,6,0,1,12,6,6,0,1
2010,Alemania,3,partido 3er puesto,15,7,5,0,2,16,5,11,0,0
2010,Uruguay,4,partido 3er puesto,11,7,3,2,2,11,8,3,0,0
2010,Argentina,5,cuartos de final,12,5,4,0,1,10,6,4,0,0
2010,Brasil,6,cuartos de final,10,5,3,1,1,9,4,5,0,0
2010,Ghana,7,cuartos de final,8,5,2,2,1,5,4,1,0,0
2010,Paraguay,8,cuartos de final,6,5,1,3,1,3,2,1,0,0
2010,Japón,9,octavos de final,7,4,2,1,1,4,2,2,0,0
2010,Chile,10,octavos de final,6,4,2,0,2,3,5,-2,0,0
2010,Portugal,11,octavos de final,5,4,1,2,1,7,1,6,0,0
2010,Estados Unidos,12,octavos de final,5,4,1,2,1,5,5,0,0,0
2010,Inglaterra,13,octavos de final,5,4,1,2,1,3,5,-2,0,0
2010,México,14,octavos de final,4,4,1,1,2,4,5,-1,0,0
2010,Corea del Sur,15,octavos de final,4,4,1,1,2,6,8,-2,0,0
2010,Eslovaquia,16,octavos de final,4,4,1,1,2,5,7,-2,0,0
2010,Costa de Marfil,17,grupos 1ra ronda,4,3,1,1,1,4,3,1,0,0
2010,Eslovenia,18,grupos 1ra ronda,4,3,1,1,1,3,3,0,0,0
2010,Suiza,19,grupos 1ra ronda,4,3,1,1,1,1,1,0,0,0
2010,Sudáfrica,20,grupos 1ra ronda,4,3,1,1,1,3,5,-2,0,0
2010,Australia,21,grupos 1ra ronda,4,3,1,1,1,3,6,-3,0,0
2010,Nueva Zelanda,22,grupos 1ra ronda,3,3,0,3,0,2,2,0,0,0
2010,Serbia,23,grupos 1ra ronda,3,3,1,0,2,2,3,-1,0,0
2010,Dinamarca,24,grupos 1ra ronda,3,3,1,0,2,3,6,-3,0,0
2010,Grecia,25,grupos 1ra ronda,3,3,1,0,2,2,5,-3,0,0
2010,Italia,26,grupos 1ra ronda,2,3,0,2,1,4,5,-1,0,0
2010,Nigeria,27,grupos 1ra ronda,1,3,0,1,2,3,5,-2,0,0
2010,Argelia,28,grupos 1ra ronda,1,3,0,1,2,0,2,-2,0,0
2010,Francia,29,grupos 1ra ronda,1,3,0,1,2,1,4,-3,0,0
2010,Honduras,30,grupos 1ra ronda,1,3,0,1,2,0,3,-3,0,0
2010,Camerún,31,grupos 1ra ronda,0,3,0,0,3,2,5,-3,0,0
2010,Corea del Norte,32,grupos 1ra ronda,0,3,0,0,3,1,12,-11,0,0
2014,Alemania,1,final,19,7,6,1,0,18,4,14,1,0
2014,Argentina,2,final,16,7,5,1,1,8,4,4,0,1
2014,Paises Bajos,3,partido 3er puesto,17,7,5,2,0,15,4,11,0,0
2014,Brasil,4,partido 3er puesto,11,7,3,2,2,11,14,-3,0,0
2014,Colombia,5,cuartos de final,12,5,4,0,1,12,4,8,0,0
2014,Bélgica,6,cuartos de final,12,5,4,0,1,6,3,3,0,0
2014,Francia,7,cuartos de final,10,5,3,1,1,10,3,7,0,0
2014,Costa Rica,8,cuartos de final,9,5,2,3,0,5,2,3,0,0
2014,Chile,9,octavos de final,7,4,2,1,1,6,4,2,0,0
2014,México,10,octavos de final,7,4,2,1,1,5,3,2,0,0
2014,Suiza,11,octavos de final,6,4,2,0,2,7,7,0,0,0
2014,Uruguay,12,octavos de final,6,4,2,0,2,4,6,-2,0,0
2014,Grecia,13,octavos de final,5,4,1,2,1,3,5,-2,0,0
2014,Argelia,14,octavos de final,4,4,1,1,2,7,7,0,0,0
2014,Estados Unidos,15,octavos de final,4,4,1,1,2,5,6,-1,0,0
2014,Nigeria,16,octavos de final,4,4,1,1,2,3,5,-2,0,0
2014,Ecuador,17,grupos 1ra ronda,4,3,1,1,1,3,3,0,0,0
2014,Portugal,18,grupos 1ra ronda,4,3,1,1,1,4,7,-3,0,0
2014,Croacia,19,grupos 1ra ronda,3,3,1,0,2,6,6,0,0,0
2014,Bosnia-Herzegovina,20,grupos 1ra ronda,3,3,1,0,2,4,4,0,0,0
2014,Costa de Marfil,21,grupos 1ra ronda,3,3,1,0,2,4,5,-1,0,0
2014,Italia,22,grupos 1ra ronda,3,3,1,0,2,2,3,-1,0,0
2014,España,23,grupos 1ra ronda,3,3,1,0,2,4,7,-3,0,0
2014,Rusia,24,grupos 1ra ronda,2,3,0,2,1,2,3,-1,0,0
2014,Ghana,25,grupos 1ra ronda,1,3,0,1,2,4,6,-2,0,0
2014,Inglaterra,26,grupos 1ra ronda,1,3,0,1,2,2,4,-2,0,0
2014,Corea del Sur,27,grupos 1ra ronda,1,3,0,1,2,3,6,-3,0,0
2014,Irán,28,grupos 1ra ronda,1,3,0,1,2,1,4,-3,0,0
2014,Japón,29,grupos 1ra ronda,1,3,0,1,2,2,6,-4,0,0
2014,Australia,30,grupos 1ra ronda,0,3,0,0,3,3,9,-6,0,0
2014,Honduras,31,grupos 1ra ronda,0,3,0,0,3,1,8,-7,0,0
2014,Camerún,32,grupos 1ra ronda,0,3,0,0,3,1,9,-8,0,0
2018,Francia,1,final,19,7,6,1,0,14,6,8,1,0
2018,Croacia,2,final,14,7,4,2,1,14,9,5,0,1
2018,Bélgica,3,partido 3er puesto,18,7,6,0,1,16,6,10,0,0
2018,Inglaterra,4,partido 3er puesto,10,7,3,1,3,12,8,4,0,0
2018,Uruguay,5,cuartos de final,12,5,4,0,1,7,3,4,0,0
2018,Brasil,6,cuartos de final,10,5,3,1,1,8,3,5,0,0
2018,Suecia,7,cuartos de final,9,5,3,0,2,6,4,2,0,0
2018,Rusia,8,cuartos de final,8,5,2,2,1,11,7,4,0,0
2018,Colombia,9,octavos de final,7,4,2,1,1,6,3,3,0,0
2018,España,10,octavos de final,6,4,1,3,0,7,6,1,0,0
2018,Dinamarca,11,octavos de final,6,4,1,3,0,3,2,1,0,0
2018,México,12,octavos de final,6,4,2,0,2,3,6,-3,0,0
2018,Portugal,13,octavos de final,5,4,1,2,1,6,6,0,0,0
2018,Suiza,14,octavos de final,5,4,1,2,1,5,5,0,0,0
2018,Japón,15,octavos de final,4,4,1,1,2,6,7,-1,0,0
2018,Argentina,16,octavos de final,4,4,1,1,2,6,9,-3,0,0
2018,Senegal,17,grupos 1ra ronda,4,3,1,1,1,4,4,0,0,0
2018,Irán,18,grupos 1ra ronda,4,3,1,1,1,2,2,0,0,0
2018,Corea del Sur,19,grupos 1ra ronda,3,3,1,0,2,3,3,0,0,0
2018,Perú,20,grupos 1ra ronda,3,3,1,0,2,2,2,0,0,0
2018,Nigeria,21,grupos 1ra ronda,3,3,1,0,2,3,4,-1,0,0
2018,Alemania,22,grupos 1ra ronda,3,3,1,0,2,2,4,-2,0,0
2018,Serbia,23,grupos 1ra ronda,3,3,1,0,2,2,4,-2,0,0
2018,Túnez,24,grupos 1ra ronda,3,3,1,0,2,5,8,-3,0,0
2018,Polonia,25,grupos 1ra ronda,3,3,1,0,2,2,5,-3,0,0
2018,Arabia Saudita,26,grupos 1ra ronda,3,3,1,0,2,2,7,-5,0,0
2018,Marruecos,27,grupos 1ra ronda,1,3,0,1,2,2,4,-2,0,0
2018,Islandia,28,grupos 1ra ronda,1,3,0,1,2,2,5,-3,0,0
2018,Costa Rica,29,grupos 1ra ronda,1,3,0,1,2,2,5,-3,0,0
2018,Australia,30,grupos 1ra ronda,1,3,0,1,2,2,5,-3,0,0
2018,Egipto,31,grupos 1ra ronda,0,3,0,0,3,2,6,-4,0,0
2018,Panamá,32,grupos 1ra ronda,0,3,0,0,3,2,11,-9,0,0
2022,Argentina,1,final,14,7,4,2,1,15,8,7,1,0
2022,Francia,2,final,16,7,5,1,1,16,8,8,0,1
2022,Croacia,3,partido 3er puesto,10,7,2,4,1,8,7,1,0,0
2022,Marruecos,4,partido 3er puesto,11,7,3,2,2,6,5,1,0,0
2022,Paises Bajos,5,cuartos de final,11,5,3,2,0,10,4,6,0,0
2022,Inglaterra,6,cuartos de final,10,5,3,1,1,13,4,9,0,0
2022,Brasil,7,cuartos de final,10,5,3,1,1,8,3,5,0,0
2022,Portugal,8,cuartos de final,9,5,3,0,2,12,6,6,0,0
2022,Japón,9,octavos de final,7,4,2,1,1,5,4,1,0,0
2022,Senegal,10,octavos de final,6,4,2,0,2,5,7,-2,0,0
2022,Australia,11,octavos de final,6,4,2,0,2,4,6,-2,0,0
2022,Suiza,12,octavos de final,6,4,2,0,2,5,9,-4,0,0
2022,España,13,octavos de final,5,4,1,2,1,9,3,6,0,0
2022,Estados Unidos,14,octavos de final,5,4,1,2,1,3,4,-1,0,0
2022,Polonia,15,octavos de final,4,4,1,1,2,3,5,-2,0,0
2022,Corea del Sur,16,octavos de final,4,4,1,1,2,5,8,-3,0,0
2022,Alemania,17,grupos 1ra ronda,4,3,1,1,1,6,5,1,0,0
2022,Ecuador,18,grupos 1ra ronda,4,3,1,1,1,4,3,1,0,0
2022,Camerún,19,grupos 1ra ronda,4,3,1,1,1,4,4,0,0,0
2022,Uruguay,20,grupos 1ra ronda,4,3,1,1,1,2,2,0,0,0
2022,Túnez,21,grupos 1ra ronda,4,3,1,1,1,1,1,0,0,0
2022,México,22,grupos 1ra ronda,4,3,1,1,1,2,3,-1,0,0
2022,Bélgica,23,grupos 1ra ronda,4,3,1,1,1,1,2,-1,0,0
2022,Ghana,24,grupos 1ra ronda,3,3,1,0,2,5,7,-2,0,0
2022,Arabia Saudita,25,grupos 1ra ronda,3,3,1,0,2,3,5,-2,0,0
2022,Irán,26,grupos 1ra ronda,3,3,1,0,2,4,7,-3,0,0
2022,Costa Rica,27,grupos 1ra ronda,3,3,1,0,2,3,11,-8,0,0
2022,Dinamarca,28,grupos 1ra ronda,1,3,0,1,2,1,3,-2,0,0
2022,Serbia,29,grupos 1ra ronda,1,3,0,1,2,5,8,-3,0,0
2022,Gales,30,grupos 1ra ronda,1,3,0,1,2,1,6,-5,0,0
2022,Canadá,31,grupos 1ra ronda,0,3,0,0,3,2,7,-5,0,0
2022,Catar,32,grupos 1ra ronda,0,3,0,0,3,1,7,-6,0,0
